displayName,formattedAddress,internationalPhoneNumber,websiteUri,tiene_web,rating,userRatingCount,googleMapsUri,businessStatus,primaryType,prioridad,motivo
Centro Fisio Demo Norte,"C. de Ejemplo, 12, 28010 Madrid",+34 910 00 11 22,https://centrobuenavista.example,True,4.9,412.0,https://maps.google.com/?cid=000000000000000001,OPERATIONAL,physiotherapist,ALTA,Negocio sólido y bien valorado
Fisio Demo Centro,"P.º de Recoletos, 45, 28004 Madrid",+34 911 22 33 44,https://fisiorecoletos.example,True,4.8,287.0,https://maps.google.com/?cid=000000000000000002,OPERATIONAL,physiotherapist,ALTA,Negocio sólido y bien valorado
Clínica Sevilla Norte,"C. Inventada, 88, 28020 Madrid",+34 912 33 44 55,http://clinicasevillanorte.example,True,4.7,193.0,https://maps.google.com/?cid=000000000000000003,OPERATIONAL,physiotherapist,ALTA,Negocio sólido y bien valorado
Fisioterapia Ejemplo Oeste,"C. del Ejemplo, 7, 28015 Madrid",+34 913 44 55 66,,False,4.8,156.0,https://maps.google.com/?cid=000000000000000004,OPERATIONAL,physiotherapist,ALTA,Negocio sólido y bien valorado (sin web)
Estudio Postural Demo,"Av. Inventada, 22, 28023 Madrid",+34 914 55 66 77,https://estudiopostural.example,True,4.6,98.0,https://maps.google.com/?cid=000000000000000005,OPERATIONAL,physiotherapist,ALTA,Negocio sólido y bien valorado
Fisio & Pilates Ejemplo,"C. Falsa, 33, 28010 Madrid",+34 915 66 77 88,https://fisiopilates.example,True,4.5,62.0,https://maps.google.com/?cid=000000000000000006,OPERATIONAL,physiotherapist,ALTA,Negocio sólido y bien valorado
Centro Rehab Demo Sur,"C. de Prueba, 5, 28030 Madrid",+34 916 77 88 99,http://rehabmadridsur.example,True,4.4,87.0,https://maps.google.com/?cid=000000000000000007,OPERATIONAL,physiotherapist,MEDIA,Negocio con buena reputación
Fisioterapia Demo Este,"C. de Goya, 99, 28009 Madrid",+34 917 88 99 00,,False,4.3,42.0,https://maps.google.com/?cid=000000000000000008,OPERATIONAL,physiotherapist,MEDIA,Negocio con buena reputación (sin web)
Fisio Express Demo,"C. Demo, 1, 28005 Madrid",+34 918 99 00 11,https://fisioexpress.example,True,4.2,28.0,https://maps.google.com/?cid=000000000000000009,OPERATIONAL,physiotherapist,MEDIA,Negocio con buena reputación
Clínica Inventada SL,"C. Cualquiera, 18, 28045 Madrid",+34 919 00 11 22,,False,3.8,9.0,https://maps.google.com/?cid=000000000000000010,OPERATIONAL,physiotherapist,BAJA,Pocas reseñas o rating bajo (sin web)
